,Alpha Dollar PnL,Net Futures Exposure
2013-03-29,95591.5,3.5
2013-03-30,95591.5,3.5
2013-03-31,95591.5,3.5
2013-04-01,94092.0,7.5
2013-04-02,95767.5,3.5
2013-04-03,93749.0,5.5
2013-04-04,95124.0,5.5
2013-04-05,93261.75,3.5
2013-04-06,93261.75,3.5
2013-04-07,93261.75,3.5
2013-04-08,94868.5,7.5
2013-04-09,98050.0,5.5
2013-04-10,103412.5,5.5
2013-04-11,104644.0,7.5
2013-04-12,102669.25,5.5
2013-04-13,102669.25,5.5
2013-04-14,102669.25,5.5
2013-04-15,94063.5,5.5
2013-04-16,98669.75,5.5
2013-04-17,92682.5,3.5
2013-04-18,90926.5,5.5
2013-04-19,94627.0,5.5
2013-04-20,94627.0,5.5
2013-04-21,94627.0,5.5
2013-04-22,96758.25,5.5
2013-04-23,100739.75,7.5
2013-04-24,101477.75,3.5
2013-04-25,102740.5,5.5
2013-04-26,102253.25,3.5
2013-04-27,102253.25,3.5
2013-04-28,102253.25,3.5
2013-04-29,104003.25,3.5
2013-04-30,104259.75,5.5
2013-05-01,100335.0,3.5
2013-05-02,103041.5,5.5
2013-05-03,108266.5,5.5
2013-05-04,108266.5,5.5
2013-05-05,108266.5,5.5
2013-05-06,108954.0,5.5
2013-05-07,110947.75,5.5
2013-05-08,112798.0,3.5
2013-05-09,111829.5,5.5
2013-05-10,113267.25,3.5
2013-05-11,113267.25,3.5
2013-05-12,113267.25,3.5
2013-05-13,113742.5,5.5
2013-05-14,118411.5,3.5
2013-05-15,119855.25,3.5
2013-05-16,118536.75,5.5
2013-05-17,123068.25,3.5
2013-05-18,123068.25,3.5
2013-05-19,123068.25,3.5
2013-05-20,122837.5,7.5
2013-05-21,124150.0,7.5
2013-05-22,117956.5,5.5
2013-05-23,117263.0,7.5
2013-05-24,115469.75,3.5
2013-05-25,115469.75,3.5
2013-05-26,115469.75,3.5
2013-05-27,115469.75,3.5
2013-05-28,118351.25,5.5
2013-05-29,115045.25,7.5
2013-05-30,118220.75,3.5
2013-05-31,115196.0,5.5
2013-06-01,115196.0,5.5
2013-06-02,115196.0,5.5
2013-06-03,114433.75,7.5
2013-06-04,113490.25,5.5
2013-06-05,107021.75,7.5
2013-06-06,109828.25,5.5
2013-06-07,115803.5,7.5
2013-06-08,115803.5,7.5
2013-06-09,115803.5,7.5
2013-06-10,116834.75,7.5
2013-06-11,110360.0,5.5
2013-06-12,107122.75,7.5
2013-06-13,116017.0,3.5
2013-06-14,113960.75,3.5
2013-06-15,113960.75,3.5
2013-06-16,113960.75,3.5
2013-06-17,116142.25,5.5
2013-06-18,119848.75,3.5
2013-06-19,116703.5,5.5
2013-06-20,116697.5,7.5
2013-06-21,116685.5,3.5
2013-06-22,116685.5,3.5
2013-06-23,116685.5,3.5
2013-06-24,116679.5,5.5
2013-06-25,116673.5,3.5
2013-06-26,116673.5,3.5
2013-06-27,116661.5,7.5
2013-06-28,116655.5,5.5
2013-06-29,116655.5,5.5
2013-06-30,116655.5,5.5
2013-07-01,116649.5,7.5
2013-07-02,116643.5,5.5
2013-07-03,116637.5,3.5
2013-07-04,116637.5,3.5
2013-07-05,116631.5,5.5
2013-07-06,116631.5,5.5
2013-07-07,116631.5,5.5
2013-07-08,116625.5,3.5
2013-07-09,116613.5,7.5
2013-07-10,116613.5,7.5
2013-07-11,116607.5,5.5
2013-07-12,116595.5,5.5
2013-07-13,116595.5,5.5
2013-07-14,116595.5,5.5
2013-07-15,116589.5,3.5
2013-07-16,116589.5,3.5
2013-07-17,116577.5,7.5
2013-07-18,116571.5,5.5
2013-07-19,116565.5,7.5
2013-07-20,116565.5,7.5
2013-07-21,116565.5,7.5
2013-07-22,116559.5,5.5
2013-07-23,116553.5,3.5
